,precision,recall,f1-score,support
10051090,1.0,1.0,1.0,200.0
17049000,0.9800995024875622,0.985,0.9825436408977556,200.0
18063100,0.9641025641025641,0.94,0.9518987341772152,200.0
18069000,0.9548022598870056,0.845,0.896551724137931,200.0
19041000,0.9949748743718593,0.99,0.9924812030075187,200.0
19053100,0.9844559585492227,0.95,0.9669211195928753,200.0
19059000,0.9792746113989638,0.945,0.9618320610687023,200.0
20041000,1.0,0.985,0.9924433249370277,200.0
21021000,0.965,0.965,0.965,200.0
21031000,0.9899497487437185,0.985,0.9874686716791979,200.0
21039020,0.9851485148514851,0.995,0.9900497512437811,200.0
21039090,0.9731182795698925,0.905,0.9378238341968912,200.0
21069000,0.9789473684210527,0.93,0.9538461538461539,200.0
22021010,1.0,0.995,0.9974937343358395,200.0
22030000,0.9845360824742269,0.955,0.9695431472081218,200.0
24022000,1.0,1.0,1.0,200.0
25232900,1.0,0.985,0.9924433249370277,200.0
27101964,0.9746192893401016,0.96,0.9672544080604534,200.0
27101966,1.0,0.925,0.961038961038961,200.0
29025000,1.0,0.99,0.9949748743718593,200.0
29349990,0.9743589743589743,0.95,0.9620253164556962,200.0
30021210,0.921875,0.885,0.9030612244897959,200.0
30043910,0.97,0.97,0.97,200.0
30049029,0.9540816326530612,0.935,0.9444444444444444,200.0
30049092,0.9715909090909091,0.855,0.9095744680851063,200.0
30059020,0.9593908629441624,0.945,0.9521410579345088,200.0
30059090,0.9838709677419355,0.915,0.9481865284974094,200.0
30061051,0.975609756097561,1.0,0.9876543209876543,200.0
30061059,1.0,0.97,0.9847715736040609,200.0
30064020,1.0,1.0,1.0,200.0
30069100,0.9950248756218906,1.0,0.9975062344139651,200.0
32041700,0.958974358974359,0.935,0.9468354430379747,200.0
32064900,0.968421052631579,0.92,0.9435897435897436,200.0
32141000,0.9896907216494846,0.96,0.9746192893401016,200.0
32151100,0.985,0.985,0.985,200.0
32151900,0.9736842105263158,0.925,0.9487179487179487,200.0
33021000,0.9609756097560975,0.985,0.9728395061728395,200.0
33030010,0.8484848484848485,0.42,0.5618729096989966,200.0
33030020,0.7579617834394905,0.595,0.6666666666666666,200.0
33041000,0.9887005649717514,0.875,0.9283819628647215,200.0
33042000,0.9824561403508771,0.84,0.9056603773584906,200.0
33043020,0.9898477157360406,0.975,0.982367758186398,200.0
33049100,0.8026315789473685,0.61,0.6931818181818182,200.0
33049970,0.9771428571428571,0.855,0.912,200.0
33049980,0.8378378378378378,0.31,0.45255474452554745,200.0
33049990,0.7837837837837838,0.29,0.4233576642335766,200.0
33051010,0.9817073170731707,0.805,0.8846153846153846,200.0
33059020,0.8026315789473685,0.305,0.4420289855072464,200.0
33059030,0.9731182795698925,0.905,0.9378238341968912,200.0
33059090,0.7674418604651163,0.33,0.46153846153846156,200.0
33069010,0.995,0.995,0.995,200.0
33071090,0.9947089947089947,0.94,0.9665809768637532,200.0
33072010,0.9947643979057592,0.95,0.9718670076726342,200.0
33072090,0.9581151832460733,0.915,0.9360613810741688,200.0
34011100,0.9948453608247423,0.965,0.9796954314720813,200.0
34013000,0.9888888888888889,0.89,0.9368421052631579,200.0
34029000,0.9826589595375722,0.85,0.9115281501340483,200.0
38210000,0.989247311827957,0.92,0.9533678756476683,200.0
38221300,0.9504950495049505,0.96,0.9552238805970149,200.0
38221900,0.9252336448598131,0.495,0.6449511400651465,200.0
38229000,0.8870967741935484,0.825,0.8549222797927462,200.0
38249999,0.9823529411764705,0.835,0.9027027027027027,200.0
39012000,0.9950248756218906,1.0,0.9975062344139651,200.0
39069000,0.9890710382513661,0.905,0.9451697127937336,200.0
39191020,1.0,0.98,0.98989898989899,200.0
39201010,0.9899497487437185,0.985,0.9874686716791979,200.0
39231010,0.9125,0.73,0.8111111111111111,200.0
39233090,0.9736842105263158,0.74,0.8409090909090909,200.0
39235010,0.9634146341463414,0.79,0.8681318681318682,200.0
39239090,0.8807947019867549,0.665,0.7578347578347578,200.0
39241000,0.930635838150289,0.805,0.8632707774798928,200.0
39249000,0.8525641025641025,0.665,0.7471910112359551,200.0
39259000,0.9891891891891892,0.915,0.9506493506493506,200.0
39263000,0.9,0.045,0.08571428571428572,200.0
39269090,0.7708333333333334,0.185,0.29838709677419356,200.0
40082100,0.9043062200956937,0.945,0.9242053789731052,200.0
40091100,0.9855072463768116,0.68,0.8047337278106509,200.0
40092200,0.9205298013245033,0.695,0.792022792022792,200.0
40093100,0.9574468085106383,0.225,0.3643724696356275,200.0
40093200,1.0,0.185,0.31223628691983124,200.0
40103100,0.9695121951219512,0.795,0.8736263736263736,200.0
40103900,0.9080459770114943,0.79,0.8449197860962567,200.0
40151990,0.9789473684210527,0.93,0.9538461538461539,200.0
40169310,0.8529411764705882,0.145,0.24786324786324787,200.0
40169390,0.7830188679245284,0.415,0.5424836601307189,200.0
40169900,0.9066666666666666,0.34,0.49454545454545457,200.0
4061020,1.0,0.995,0.9974937343358395,200.0
42022210,0.8636363636363636,0.475,0.6129032258064516,200.0
42022220,0.8851351351351351,0.655,0.7528735632183908,200.0
42023210,0.9618320610687023,0.63,0.7613293051359517,200.0
42029210,0.9368421052631579,0.445,0.6033898305084746,200.0
42029220,0.8706896551724138,0.505,0.6392405063291139,200.0
42032900,0.9948717948717949,0.97,0.9822784810126582,200.0
44160010,0.99,0.99,0.99,200.0
48114110,0.985,0.985,0.985,200.0
48191010,0.9947643979057592,0.95,0.9718670076726342,200.0
48192010,1.0,0.97,0.9847715736040609,200.0
48194000,0.9897959183673469,0.97,0.9797979797979798,200.0
49019939,0.9696969696969697,0.96,0.964824120603015,200.0
49019991,0.9662921348314607,0.86,0.91005291005291,200.0
49070090,0.9896907216494846,0.96,0.9746192893401016,200.0
61013000,0.0,0.0,0.0,200.0
61023000,1.0,0.035,0.06763285024154589,200.0
61034200,0.7289719626168224,0.39,0.50814332247557,200.0
61034300,0.0,0.0,0.0,200.0
61044300,0.6666666666666666,0.05,0.09302325581395349,200.0
61046200,0.8395061728395061,0.34,0.48398576512455516,200.0
61046300,1.0,0.01,0.019801980198019802,200.0
61062000,0.8850574712643678,0.385,0.5365853658536586,200.0
61071100,0.8564593301435407,0.895,0.8753056234718827,200.0
61082100,0.9319727891156463,0.685,0.7896253602305475,200.0
61082200,0.74,0.74,0.74,200.0
61091000,0.8764044943820225,0.39,0.5397923875432526,200.0
61099040,0.7419354838709677,0.115,0.19913419913419914,200.0
61099090,0.8834355828220859,0.72,0.7933884297520661,200.0
61102000,0.9772727272727273,0.43,0.5972222222222222,200.0
61103000,0.75,0.09,0.16071428571428573,200.0
61112000,0.8352272727272727,0.735,0.7819148936170213,200.0
61113000,0.9683544303797469,0.765,0.8547486033519553,200.0
61121200,0.85,0.34,0.4857142857142857,200.0
61123100,0.9765625,0.625,0.7621951219512195,200.0
61124100,0.8918918918918919,0.495,0.6366559485530546,200.0
61130000,0.9528795811518325,0.91,0.9309462915601023,200.0
61143000,0.9555555555555556,0.43,0.593103448275862,200.0
61151000,0.9888268156424581,0.885,0.9340369393139841,200.0
61152200,0.75,0.63,0.6847826086956522,200.0
61152900,0.8622754491017964,0.72,0.784741144414169,200.0
61159500,0.8670520231213873,0.75,0.8042895442359249,200.0
61159600,0.8978102189781022,0.615,0.7299703264094956,200.0
61161000,0.9,0.9,0.9,200.0
61169300,0.9117647058823529,0.465,0.6158940397350994,200.0
61178000,0.9264705882352942,0.63,0.75,200.0
62014000,0.8431372549019608,0.215,0.3426294820717131,200.0
62024000,0.9230769230769231,0.12,0.21238938053097345,200.0
62034210,0.8380281690140845,0.595,0.695906432748538,200.0
62034290,0.9247311827956989,0.43,0.5870307167235495,200.0
62034300,0.873015873015873,0.275,0.41825095057034223,200.0
62043300,0.0,0.0,0.0,200.0
62044200,0.0,0.0,0.0,200.0
62044300,0.0,0.0,0.0,200.0
62045300,0.0,0.0,0.0,200.0
62046210,0.7916666666666666,0.285,0.41911764705882354,200.0
62046290,0.9259259259259259,0.125,0.22026431718061673,200.0
62046310,0.7297297297297297,0.27,0.39416058394160586,200.0
62046900,0.7903225806451613,0.49,0.6049382716049383,200.0
62052000,1.0,0.12,0.21428571428571427,200.0
62063000,0.0,0.0,0.0,200.0
62064000,0.0,0.0,0.0,200.0
62104000,0.9554140127388535,0.75,0.8403361344537815,200.0
62105000,0.9647058823529412,0.82,0.8864864864864865,200.0
62113300,0.8253968253968254,0.52,0.6380368098159509,200.0
62114300,1.0,0.06,0.11320754716981132,200.0
62121020,0.7419354838709677,0.115,0.19913419913419914,200.0
62122000,0.9738219895287958,0.93,0.9514066496163683,200.0
63079090,0.9479768786127167,0.82,0.8793565683646113,200.0
64019200,0.9894179894179894,0.935,0.961439588688946,200.0
64021900,0.9401197604790419,0.785,0.8555858310626703,200.0
64029190,0.8685714285714285,0.76,0.8106666666666666,200.0
64029910,0.9505494505494505,0.865,0.9057591623036649,200.0
64029990,0.8980891719745223,0.705,0.7899159663865546,200.0
64031900,0.93717277486911,0.895,0.9156010230179028,200.0
64034000,0.9802955665024631,0.995,0.9875930521091811,200.0
64039990,0.9296482412060302,0.925,0.9273182957393483,200.0
64041100,0.9411764705882353,0.72,0.8158640226628895,200.0
64041900,0.8862275449101796,0.74,0.8065395095367848,200.0
64069000,0.9621621621621622,0.89,0.9246753246753247,200.0
65050000,0.9323308270676691,0.62,0.7447447447447447,200.0
65061000,0.9825581395348837,0.845,0.9086021505376344,200.0
68042100,0.9896907216494846,0.96,0.9746192893401016,200.0
68042210,1.0,0.97,0.9847715736040609,200.0
70071100,1.0,0.4,0.5714285714285714,200.0
70072100,0.9444444444444444,0.51,0.6623376623376623,200.0
70091000,1.0,0.135,0.23788546255506607,200.0
71171920,0.9675675675675676,0.895,0.9298701298701298,200.0
71171990,0.9267015706806283,0.885,0.9053708439897699,200.0
72193300,0.9947916666666666,0.955,0.9744897959183674,200.0
72193400,0.9898477157360406,0.975,0.982367758186398,200.0
72254000,0.995,0.995,0.995,200.0
73043900,0.9580838323353293,0.8,0.8719346049046321,200.0
73065000,1.0,0.995,0.9974937343358395,200.0
73072100,0.9259259259259259,0.625,0.746268656716418,200.0
73072300,0.9794871794871794,0.955,0.9670886075949368,200.0
73072900,0.8354430379746836,0.33,0.4731182795698925,200.0
73079100,0.8933333333333333,0.335,0.48727272727272725,200.0
73079200,0.8861788617886179,0.545,0.6749226006191951,200.0
73079900,0.9333333333333333,0.07,0.13023255813953488,200.0
73089000,0.9513513513513514,0.88,0.9142857142857143,200.0
73121010,0.9515151515151515,0.785,0.8602739726027397,200.0
73151100,0.9679144385026738,0.905,0.9354005167958657,200.0
73181500,0.7196969696969697,0.475,0.572289156626506,200.0
73181600,0.9642857142857143,0.27,0.421875,200.0
73182100,0.9523809523809523,0.3,0.45627376425855515,200.0
73182200,0.8333333333333334,0.25,0.38461538461538464,200.0
73182400,0.6739130434782609,0.31,0.4246575342465753,200.0
73182900,0.0,0.0,0.0,200.0
73202000,0.9680851063829787,0.455,0.6190476190476191,200.0
73239300,0.9723756906077348,0.88,0.9238845144356955,200.0
73261900,0.8658536585365854,0.355,0.5035460992907801,200.0
73269000,0.8260869565217391,0.285,0.42379182156133827,200.0
76072010,1.0,0.985,0.9924433249370277,200.0
76129000,0.98989898989899,0.98,0.9849246231155779,200.0
76151000,0.9846938775510204,0.965,0.9747474747474747,200.0
76169990,0.9326424870466321,0.9,0.916030534351145,200.0
82023900,0.9948979591836735,0.975,0.9848484848484849,200.0
82032000,0.9248554913294798,0.8,0.8579088471849866,200.0
82055900,0.8348623853211009,0.455,0.5889967637540453,200.0
82071390,0.9887640449438202,0.88,0.9312169312169312,200.0
82071990,0.9293478260869565,0.855,0.890625,200.0
82075010,0.993006993006993,0.71,0.8279883381924198,200.0
82075090,0.9806451612903225,0.76,0.856338028169014,200.0
82079000,0.953757225433526,0.825,0.8847184986595175,200.0
82089000,0.9219858156028369,0.65,0.7624633431085044,200.0
82090000,0.9947916666666666,0.955,0.9744897959183674,200.0
82142000,0.9947089947089947,0.94,0.9665809768637532,200.0
83014000,0.9707602339181286,0.83,0.894878706199461,200.0
83021000,0.8292682926829268,0.34,0.48226950354609927,200.0
83023000,0.9230769230769231,0.18,0.301255230125523,200.0
83024900,0.9196428571428571,0.515,0.6602564102564102,200.0
83071000,0.907563025210084,0.54,0.677115987460815,200.0
83112000,0.98989898989899,0.98,0.9849246231155779,200.0
84099190,0.8717948717948718,0.17,0.28451882845188287,200.0
84099990,0.7954545454545454,0.175,0.28688524590163933,200.0
84122100,0.9466666666666667,0.71,0.8114285714285714,200.0
84122900,0.9642857142857143,0.675,0.7941176470588235,200.0
84123100,0.9155844155844156,0.705,0.7966101694915254,200.0
84129000,0.9239766081871345,0.79,0.8517520215633423,200.0
84133090,0.88,0.22,0.352,200.0
84135000,0.9777777777777777,0.66,0.7880597014925373,200.0
84136000,0.9473684210526315,0.63,0.7567567567567568,200.0
84137000,0.9516129032258065,0.59,0.7283950617283951,200.0
84138100,0.7872340425531915,0.185,0.29959514170040485,200.0
84139100,0.8704663212435233,0.84,0.8549618320610687,200.0
