,Predicted_85365090,Predicted_84716090,Predicted_61161000,Predicted_73089000,Predicted_85078000,Predicted_85371000,Predicted_19053100,Predicted_33041000,Predicted_61169300,Predicted_29025000,Predicted_UNSURE
True_85365090,0,0,0,0,0,1,0,0,0,0,148
True_84716090,0,125,0,0,0,0,0,0,0,0,67
True_61161000,0,0,180,0,0,0,0,0,1,0,16
True_73089000,0,0,0,176,0,0,0,0,0,0,14
True_85078000,0,0,0,0,133,0,0,0,0,0,55
True_85371000,0,0,0,0,0,71,0,0,0,0,116
True_19053100,0,0,0,0,0,0,190,0,0,0,2
True_33041000,0,0,0,0,0,0,0,175,0,0,16
True_61169300,0,0,9,0,0,0,0,0,93,0,93
True_29025000,0,0,0,0,0,0,0,0,0,198,2
True_UNSURE,0,0,0,0,0,0,0,0,0,0,0
