,precision,recall,f1-score,support
10051090,0.9925373134328358,0.9975,0.9950124688279302,400.0
17049000,0.9679012345679012,0.98,0.9739130434782609,400.0
18063100,0.9206730769230769,0.9575,0.9387254901960784,400.0
18069000,0.9102564102564102,0.8875,0.8987341772151899,400.0
19041000,1.0,0.9925,0.9962358845671268,400.0
19053100,0.9692307692307692,0.945,0.9569620253164557,400.0
19059000,0.9800498753117207,0.9825,0.9812734082397003,400.0
20041000,0.995,0.995,0.995,400.0
21021000,0.9583333333333334,0.9775,0.9678217821782178,400.0
21031000,0.9773869346733668,0.9725,0.974937343358396,400.0
21039020,0.9776119402985075,0.9825,0.9800498753117207,400.0
21039090,0.9211822660098522,0.935,0.9280397022332506,400.0
21069000,0.9571788413098237,0.95,0.9535759096612296,400.0
22021010,1.0,0.9975,0.9987484355444305,400.0
22030000,0.9777777777777777,0.99,0.9838509316770186,400.0
24022000,1.0,1.0,1.0,400.0
25232900,0.9974811083123426,0.99,0.9937264742785445,400.0
27101964,0.9392405063291139,0.9275,0.9333333333333333,400.0
27101966,0.9644670050761421,0.95,0.9571788413098237,400.0
29025000,1.0,0.9975,0.9987484355444305,400.0
29349990,0.9509803921568627,0.97,0.9603960396039604,400.0
30021210,0.8406113537117904,0.9625,0.8974358974358975,400.0
30043910,0.9672544080604534,0.96,0.9636135508155583,400.0
30049029,0.9142156862745098,0.9325,0.9232673267326733,400.0
30049092,0.9097938144329897,0.8825,0.8959390862944162,400.0
30059020,0.9699248120300752,0.9675,0.9687108886107635,400.0
30059090,0.9770408163265306,0.9575,0.9671717171717171,400.0
30061051,0.9685230024213075,1.0,0.984009840098401,400.0
30061059,0.9973958333333334,0.9575,0.9770408163265306,400.0
30064020,1.0,1.0,1.0,400.0
30069100,1.0,0.9975,0.9987484355444305,400.0
32041700,0.9344660194174758,0.9625,0.9482758620689655,400.0
32064900,0.9548872180451128,0.9525,0.9536921151439299,400.0
32141000,0.9695431472081218,0.955,0.9622166246851386,400.0
32151100,0.9447115384615384,0.9825,0.9632352941176471,400.0
32151900,0.9786096256684492,0.915,0.9457364341085271,400.0
33021000,0.9634146341463414,0.9875,0.9753086419753086,400.0
33030010,0.7333333333333333,0.715,0.7240506329113924,400.0
33030020,0.7136038186157518,0.7475,0.7301587301587301,400.0
33041000,0.9444444444444444,0.8925,0.9177377892030848,400.0
33042000,0.9463276836158192,0.8375,0.8885941644562334,400.0
33043020,0.9824561403508771,0.98,0.981226533166458,400.0
33049100,0.6986027944111777,0.875,0.7769145394006659,400.0
33049970,0.8434579439252337,0.9025,0.8719806763285024,400.0
33049980,0.6931216931216931,0.655,0.6735218508997429,400.0
33049990,0.6785714285714286,0.6175,0.6465968586387435,400.0
33051010,0.9663865546218487,0.8625,0.9114927344782034,400.0
33059020,0.6950904392764858,0.6725,0.6836086404066074,400.0
33059030,0.9192399049881235,0.9675,0.9427527405602923,400.0
