,precision,recall,f1-score,support
10051090,0.9852216748768473,1.0,0.9925558312655087,200.0
17049000,0.9753694581280788,0.99,0.9826302729528535,200.0
18063100,0.9752475247524752,0.985,0.9800995024875622,200.0
18069000,0.965,0.965,0.965,200.0
19041000,1.0,0.995,0.9974937343358395,200.0
19053100,0.98989898989899,0.98,0.9849246231155779,200.0
19059000,0.9898477157360406,0.975,0.982367758186398,200.0
20041000,0.9900990099009901,1.0,0.9950248756218906,200.0
21021000,0.9801980198019802,0.99,0.9850746268656716,200.0
21031000,0.99,0.99,0.99,200.0
21039020,0.9801980198019802,0.99,0.9850746268656716,200.0
21039090,0.9320388349514563,0.96,0.9458128078817734,200.0
21069000,0.9846938775510204,0.965,0.9747474747474747,200.0
22021010,1.0,1.0,1.0,200.0
22030000,0.975,0.975,0.975,200.0
24022000,1.0,1.0,1.0,200.0
25232900,1.0,0.995,0.9974937343358395,200.0
27101964,0.9644670050761421,0.95,0.9571788413098237,200.0
27101966,0.98,0.98,0.98,200.0
29025000,1.0,1.0,1.0,200.0
29349990,0.933649289099526,0.985,0.9586374695863747,200.0
30021210,0.9323671497584541,0.965,0.9484029484029484,200.0
30043910,0.9948979591836735,0.975,0.9848484848484849,200.0
30049029,0.9798994974874372,0.975,0.9774436090225563,200.0
30049092,0.9560975609756097,0.98,0.9679012345679012,200.0
30059020,0.9458128078817734,0.96,0.9528535980148883,200.0
30059090,0.9463414634146341,0.97,0.9580246913580247,200.0
30061051,0.975609756097561,1.0,0.9876543209876543,200.0
30061059,0.9898477157360406,0.975,0.982367758186398,200.0
30064020,1.0,1.0,1.0,200.0
30069100,0.9950248756218906,1.0,0.9975062344139651,200.0
32041700,0.9698492462311558,0.965,0.9674185463659147,200.0
32064900,0.9507389162561576,0.965,0.9578163771712159,200.0
32141000,0.98,0.98,0.98,200.0
32151100,0.975609756097561,1.0,0.9876543209876543,200.0
32151900,0.9794871794871794,0.955,0.9670886075949368,200.0
33021000,0.9707317073170731,0.995,0.9827160493827161,200.0
33030010,0.803921568627451,0.82,0.8118811881188119,200.0
33030020,0.7971014492753623,0.825,0.8108108108108109,200.0
33041000,0.9642857142857143,0.945,0.9545454545454546,200.0
33042000,0.9207920792079208,0.93,0.9253731343283582,200.0
33043020,0.9802955665024631,0.995,0.9875930521091811,200.0
33049100,0.8198198198198198,0.91,0.8625592417061612,200.0
33049970,0.9605911330049262,0.975,0.967741935483871,200.0
33049980,0.8047619047619048,0.845,0.824390243902439,200.0
33049990,0.7590361445783133,0.63,0.6885245901639344,200.0
33051010,0.8774509803921569,0.895,0.8861386138613861,200.0
33059020,0.7947368421052632,0.755,0.7743589743589744,200.0
33059030,0.9641025641025641,0.94,0.9518987341772152,200.0
33059090,0.7523364485981309,0.805,0.7777777777777778,200.0
33069010,1.0,1.0,1.0,200.0
33071090,0.98,0.98,0.98,200.0
33072010,1.0,0.97,0.9847715736040609,200.0
33072090,0.9558823529411765,0.975,0.9653465346534653,200.0
34011100,0.9705882352941176,0.99,0.9801980198019802,200.0
34013000,0.9693877551020408,0.95,0.9595959595959596,200.0
34029000,0.9552238805970149,0.96,0.9576059850374065,200.0
38210000,0.9797979797979798,0.97,0.9748743718592965,200.0
38221300,0.9798994974874372,0.975,0.9774436090225563,200.0
38221900,0.8571428571428571,0.87,0.8635235732009926,200.0
38229000,0.9329896907216495,0.905,0.9187817258883249,200.0
38249999,0.96875,0.93,0.9489795918367347,200.0
39012000,0.9950248756218906,1.0,0.9975062344139651,200.0
39069000,0.9845360824742269,0.955,0.9695431472081218,200.0
39191020,0.9949494949494949,0.985,0.9899497487437185,200.0
39201010,0.995,0.995,0.995,200.0
39231010,0.8756476683937824,0.845,0.8600508905852418,200.0
39233090,0.9076923076923077,0.885,0.8962025316455696,200.0
39235010,0.9523809523809523,0.9,0.9254498714652957,200.0
39239090,0.8543689320388349,0.88,0.8669950738916257,200.0
39241000,0.9073170731707317,0.93,0.9185185185185185,200.0
