,Predicted_87032291,Predicted_44160010,Predicted_10051090,Predicted_39012000,Predicted_72254000,Predicted_22021010,Predicted_90021190,Predicted_83112000,Predicted_33069010,Predicted_30064020,Predicted_UNSURE
True_87032291,200,0,0,0,0,0,0,0,0,0,0
True_44160010,0,200,0,0,0,0,0,0,0,0,0
True_10051090,0,0,200,0,0,0,0,0,0,0,0
True_39012000,0,0,0,200,0,0,0,0,0,0,0
True_72254000,0,0,0,0,200,0,0,0,0,0,0
True_22021010,0,0,0,0,0,200,0,0,0,0,0
True_90021190,0,0,0,0,0,0,200,0,0,0,0
True_83112000,0,0,0,0,0,0,0,199,0,0,0
True_33069010,0,0,0,0,0,0,0,0,200,0,0
True_30064020,0,0,0,0,0,0,0,0,0,200,0
True_UNSURE,0,0,0,0,0,0,0,0,0,0,0
